Name,Picture (DO NOT CHANGE),Provider,DAVIA Base Price,gender,DAVIA category,DAVIA Description
Illuminated Dog Leash,Illuminated_dog_leash.jpg,Pup Crawl,29,Female,Other,"This colorful light-up leash can be seen from up to a quarter-mile in the dark. It’s made of reinforced nylon, so it’s strong and lightweight."
3MM Felt Wool Tablet Sleeve for Ipad,Felt_iPad_cover.jpg,Joe V. Leather,49,Male,Other,Modern and stylish sleeve is made using 3MM merino felt wool. Offers great protection for iPad tablets. Leather strap is attached to sleeve for added support. Felt sleeve can be specifically adapted for both the iPad and iPad 2 tablets.
Sarah's Key,Book_3.jpg,Tatiana de Rosnay,9,Female,Other,"Paris, July 1942: Sarah, a ten year-old girl, is brutally arrested with her family by the French police in the Vel' d'Hiv' roundup, but not before she locks her younger brother in a cupboard in the family's apartment, thinking that she will be back within a few hours. Paris, May 2002: On Vel' d'Hiv's 60th anniversary, journalist Julia Jarmond is asked to write an article about this black day in France's past. Through her contemporary investigation, she stumbles onto a trail of long-hidden family secrets that connect her to Sarah. Julia finds herself compelled to retrace the girl's ordeal, from that terrible term in the Vel d'Hiv', to the camps, and beyond. As she probes into Sarah's past, she begins to question her own place in France, and to reevaluate her marriage and her life. Tatiana de Rosnay offers us a brilliantly subtle, compelling portrait of France under occupation and reveals the taboos and silence that surround this painful episode."
One Day,Book_2.jpg,David Nicholls,9,Male,Other,"It’s 1988 and Dexter Mayhew and Emma Morley have only just met. But after only one day together, they cannot stop thinking about one another. Over twenty years, snapshots of that relationship are revealed on the same day—July 15th—of each year. Dex and Em face squabbles and fights, hopes and missed opportunities, laughter and tears. And as the true meaning of this one crucial day is revealed, they must come to grips with the nature of love and life itself."
The Help,Book_1.jpg,Kathryn Stockett,9,Female,Other,"Be prepared to meet three unforgettable women: Twenty-two-year-old Skeeter has just returned home after graduating from Ole Miss. She may have a degree, but it is 1962, Mississippi, and her mother will not be happy till Skeeter has a ring on her finger. Skeeter would normally find solace with her beloved maid Constantine, the woman who raised her, but Constantine has disappeared and no one will tell Skeeter where she has gone. "
Original Baklava (2 boxes),NewFood9.jpg,Phyllo Pastry,39,Male,Pantry,"Hand made with 60 paper-thin phyllo pastry leaves, this buttered treat is layered with minced walnuts, cinnamon and honey filling, then smothered with even more honey and topped with a squeeze of lemon."
Peach & Berry Pie,NewFood8.jpg,American Classic,39,Male,Pantry,"Peaches, berries, and pies, oh my! This pie is full of tart, firm blueberries and raspberries, balanced by tender and sweet peaches, all put together inside a deep-dish pastry shell that is certain to please."
"Cinnamon Swirls Gift Box, 2 Swirls (1lb each)",NewFood7.jpg,Handcrafted Pastries,19,Male,Pantry,"These handcrafted pastries are nutty, sweetly saucy, ready to slice and enjoy. Pastry chefs roll them by hand because there's no other way to achieve this kind of homestyle quality your recipient will love."
"Cheesecake Sampler, 4 Flavors",NewFood6.jpg,Creamy & Dreamy,39,Male,Pantry,"Is your recipient the kind of person who can never decide what dessert is the best choice? If so, this cheesecake sampler from Harry & David is the perfect solution, with four flavors of cheesecake including three slices each of Bing cherry chocolate, Moose Munch Snack, triple chocolate and strawberry delight."
"Best From The Bakery, 4lbs 6 oz",NewFood5.jpg,Bakery's Best,69,Male,Pantry,"Handmade goodness includes pineapple macadamia nut cake, lemon pound cake, baklava, walnut chocholate chunk cookies, white chocolate raspberry, lemon shortbread, maple walnut, peanut butter, chocolate chocolate chunk, chocolate chip, fruit gallettes and more. It's a cookie wonderland your recipient will love."
Bubby's Triple Berry Pie,NewFood3.jpg,Bubby's,59,Male,Pantry,"Putting a fork in Bubby's Triple Berry pie will evoke memories of stepping back in time 50 years, enjoying the juicy delicate flavors of ripe blueberries, raspberries, and blackberries with a lattice top."
"Gourmet Potato Latkes, Set of 24",NewFood2.jpg,Linda's,69,Male,Pantry,"This set of 24 large potato pancakes are perfect companions for some caviar and smoked salmon or equally delicious on their own. Hand made using a family recipe, these latkes are crispy and golden brown on the outside with a moist interior."
"Mini Crab Cakes, Set of 32",NewFood1.jpg,Maryland Crab Cakes,69,Male,Pantry,"Handcrafted with prized blue crab meat, these Maryland-style lump crab cakes are bursting with exceptionally sweet taste and tender, delicate texture, with just enough filling to retain their shape."
Vanilla and Chocolate Whoopie Pies - 12 pieces,vanilla_chocolate_whoopie_pies_cr.jpg,Cranberry Island Kitchen,39,Male,Pantry,"Many an informed palate claim that The Cranberry Island Kitchen makes whoopie pies better than Bobby Flay.  Made with local, free-range eggs, homemade butter, Maine spring water and Maine sea salt, Cranberry Island's whoopie pies beat out Bobby's on a recent Food Network Throwdown. Soft and cakey, these chocolate and vanilla pies are filled with creamy and sweet vanilla bean frosting.Â "
"Sweet Roll Sampler, Set of 18",sweet_roll_sampler_cr.jpg,Wolferman's,39,Male,Pantry,"Why choose when you can have it all? If you don't know which sweet roll they'll want or you'll crave in the morning, you're in luck. Our sampler delivers 6 Cinnamon Rolls, 6 Chocolate Cinnamon Rolls and 6 Nutty Sticky Buns. Certified Kosher."
Peanut Butter Milk Chocolate Chunk Cookies,peanutbutter_d_cr.jpg,Sweet Jazmines,19,Male,Pantry,"This a rich, chewy cookie that is loaded with creamy peanut butter and premium Callebaut milk chocolate chunks. Sweet Jazmines regulars love taking two of these cookies and sandwiching a thin layer of their favorite ice cream between them for an unforgettable treat."
Chocolate Peanut Butter Brownies - 6 pieces,peanut_butter_brownies_cr.jpg,Blissful Brownies,29,Male,Pantry,"This is the brownie equivalent of a rich, velvety peanut butter cup.  A layer of creamy peanut butter runs through the middle of rich chocolate.  Its flavor fusion at its finest."
"Croissants, Set of 15",Food17.jpg,Jean-Yves Pastries,39,Female,Pantry,"Master pastry chef Jean-Yves Charon prepares these croissants in the traditional French style, using butter and ultra-thin layers of yeast dough before folding and cutting the pastries by hand. Each order includes 15 of the easy to prepare delicacies, shipped frozen."
"Apple Turnovers, Set of 12",Food16.jpg,Golden Apple Pastries,39,Female,Pantry,"This set of 12 flaky, golden apple turnover pastries is shipped frozen and simply needs to be thawed, scored, and baked before they can be served warm from the over and bring a smile to the face of anyone who tries one.",
12 Blissful Brownies,Food14.jpg,Guittard Chocolate Brownies,29,Female,Pantry,"Unbelievably rich and moist, these heavenly brownies from Williams-Sonoma are made to deliver intense flavor from the finest ingredients. Made by hand in small batches, the brownies are loaded with Guittard chocolate chunks.",
One Dozen Blondies and Brunettes,DozenMix_large_cr.jpg,Hot Blondies Bakery,49,Male,Pantry,These are our quintessential classic blondies and brunettes. Take them to afternoon tea. Take them on a picnic. Take them to Bungalow. Wherever they go they fit right in. Like the perfect chocolate chip cookie. But better.,
"Cheryl's Cookies & Brownies - 18 cookies, 4 brownies",cookies_brownies_cr.jpg,Cheryl's,39,Male,Pantry,Our delicious assortments are perfect for your office parties and family get-togethers. We've included our most popular flavors of individually wrapped gourmet cookies and brownies delivered fresh to your door!,
"Classic Cinnamon Rolls, Set of 6",cinnamon_rolls_cr.jpg,Wolferman's,19,Male,Pantry,"Six rolls, with sweet icing to drizzle on top when they're fresh from the oven. Certified Kosher.",
Chocolate Caramel Pecan Brownies - 6 pieces,chocolate_caramel_pecan_brownies_cr.jpg,Blissful Brownies,29,Male,Pantry,"Rich caramel tangles with salty pecans to form this buttery, perfect combination known as Blissful's Chocolate Caramel Pecan Brownie.",
Brown Sugar Brownies - 6 pieces,brown_sugar_brownies_cr.jpg,Blissful Brownies,29,Male,Pantry,"Loaded with vanilla, butter, brown sugar and chocolate chunks, these are Blissful's slightly savory version of the Blondie. Make over a milkshake by blending in bits of this cakey confection for a slightly salty, sweet treat.Â ",
"Bluberry Lemon Muffins, Set of 6",blueberrylemon_d_cr.jpg,Sweet Jazmines,19,Male,Pantry,"Our blueberry lemon muffins are a classic that delights tastebuds everywhere. This muffin is bursting with juicy blueberries and fresh lemon zest and is finished with a light lemon vodka glaze.  In other words, perfection.",
Cheryl's Bake Sale Cookie Box - Set of 24,bake_sale_cookie_bow_box_cr.jpg,Cheryl's,39,Male,Pantry,"Our Bake Sale cookie collection includes an individually wrapped assortment of our top cookie flavors delivered in our Signature Bow Gift Boxes. Now is the time to stock up on Chocolate Chip, Oatmeal Raisin, Chocolate Chocolate Chip,Â Sugar, Snickerdoodle and of course our famous Buttercream Frosted Cut-out Cookies. Cheryl's cookies are perfect for quick desserts and summertime treats!",
Vera Wang Lavender Rose Bouquet - Vase Included,VeraWang4.jpg,Vera Wang,59,Female,Premium Flowers,The grace of a beautiful rose. Intoxicating fragrance. Petals that blush in the sunlight.  A bouquet of stunning lavender roses and assorted greens. ,
Vera Wang White Calla Lily Bouquet - 15 Stems - Vase Included,VeraWang3.jpg,Vera Wang,79,Female,Premium Flowers,"Luminous and radiant. A kiss of color. A glimpse of modern, yet classic beauty. A bouquet of 15 white mini calla lilies presented with a clear glass vase. ",
Vera Wang Sunset Bouquet 18 Stems - Vase Included,VeraWang1.jpg,Vera Wang,79,Female,Premium Flowers,"A bouquet of white Asiatic Lilies, Bells of Ireland, orange spray roses, white roses and lush greens is presented in a 7-3/4"" modern glass vase.  Approximately 19-inches in height.",
"Dreamland Pink Bouquet, 14 Stems - Vase Included",Flowers8.jpg,Peruvian Stems,29,Female,Premium Flowers,The Dreamland Pink Bouquet is a soft display of floral wonder. The finest brilliant pink roses sit amongst a cloud of pink Peruvian lilies to create a bouquet your special recipient will love.,
Assorted Tulip Bouquet - 15 stems - Vase Included,Flowers7.jpg,Rush of Color,29,Female,Premium Flowers,"Tulip lovers will be big fans of the Rush of Color Assorted Tulip Bouquet, an arrangement guaranteed to bring a splash of color to any special occasion or celebration. Fifteen of the finest tulips are delivered with a glass vase.",
"Yellow Rose and Lily Bouquet, 14 stems",Flowers6.jpg,Citrus Burst,39,Female,Premium Flowers,"Bright yellow roses and yellow Peruvian lilies combine to form a great bouquet for whoever you send this to. Altogether, 14 stems of Premium Flowers form this arrangement that will brighten its recipients' day.",39.99
100 Blooms of Peruvian Lillies,Flowers3.jpg,Peruvian Stems,19,Female,Premium Flowers,"It'll be a floral explosion in the home of whoever you send this bouquet of 25 stems of Peruvian lilies. Each stem has four to five blooms, all of which will combine to add vibrant color to any room.",19.99
"Roses, Anastasia mums, Peruvian Lilies and Green Dot Poms, 13 stems",Flowers19.jpg,Days of Sunshine,39,Female,Premium Flowers,"Two yellow roses, three orange roses, three Anastasia mums, three Peruvian lilies, two green dot poms and three ruscus combine to bring a bright bouquet of sunshine to the special recipient of this arrangement. ",36.98
"Yellow and Blue Tulips and Irises, 20 stems",Flowers17.jpg,Yellow and Blue,49,Female,Premium Flowers,"The Happy Happy Birthday arrangement is great for birthdays, but also will make other days happy for recipients with its 10 yellow tulips and 10 blue irises, which combined stands about 15 inches tall.",41.98
"SunPremium Flowers Radiance, 7 stems",Flowers16.jpg,Sunflower Blooms,49,Female,Premium Flowers,"Send sunPremium Flowers and a little sunshine to brighten up someone's day. This gorgeous and cheerful bouquet of seven yellow sunPremium Flowers are shipped in ""bud"" form to ensure they'll reach full bloom after arrival. ",41.98
"Lily Rose Bouquet, 16 stems",Flowers15.jpg,Peruvian Stems,39,Female,Premium Flowers,Send a splash of color and brighten someone's day with this bouquet of 10 Peruvian lilies and six multi-colored roses. Peruvian lilies are symbolic of friendship and devotion and are sure to warm your special recipients' heart.,36.98
"Pink Prelude Tulip Bouquet, 15 stems",Flowers14.jpg,Remarkable Bouquets,39,Female,Premium Flowers,The Pink Prelude Tulip Bouquet opens its blushing petals to celebrate the joy and beauty of life's most significant occasions. Fifteen stems of the finest pink tulips create a remarkable bouquet to express happy wishes.,39.99
"Sweet Surprises Bouquet, 8 stems",Flowers13.jpg,Pretty in Pink,39,Female,Premium Flowers,"Send a sweet surprise in the form of pink and white Premium Flowers. Hot pink spray roses, pink mini carnations, and white daisy pompons are sweetly arranged in a clear vase and trimmed with pink ribbon. Each arrangement contains eight stems.",39.99
"Calla Lily Bouquet, 18 stems - includes vase",Flowers11.jpg,Amethyst Riches,39,Female,Premium Flowers,"Dark plum, vibrant pink and bright white calla lilies comprise the Amethyst Riches Bouquet, an arrangement that delivers a message of sophistication and beauty. ",39.99
"Roses, Lilies, Daisies and Pompon, 17 stems - includes vase",Flowers10.jpg,Sunny Sentiments,39,Female,Premium Flowers,The Sunny Sentiments Bouquet was created to bring sun-filled days straight to its recipient. Yellow roses and Peruvian lilies are highlighted in this mix with traditional daisies and green button poms.,39.99
One Dozen Rainbow Roses,Flowers1.jpg,South American Roses,19,Female,Premium Flowers,"A bouquet of one dozen South American roses. The shorter length of the stems of these roses delivers a more full feel than typical long-stemmed roses. These Premium Flowers are shipped fresh, budding and ready to bloom.",19.99
Orchid Bouquet - Vase Included,FTDLuxury1.jpg,Spirited Luxury ,129,Female,Premium Flowers,"Their spirit rises to every occasion, echoing the beauty of life's limitless journey. Offer your hand and heart with our exquisite pink cymbidium orchids. Perfectly situated in a sophisticated and superior 14-inch clear glass tapered bullet vase, this unique bouquet creates a dazzling display of unmatched elegance. Includes: 1 stem of a pink cymbidium orchid, exotic foliage and a superior 14-inch clear glass tapered bullet vase. Approx. 15H x 7W ",114.99
Cymbidium Orchid Bouquet in Baccarat Crystal Vase,Baccarat1.jpg,Baccarat,749,Female,Premium Flowers,"An enchanting expression of blushing beauty, this exceptional bouquet delights at every turn. Deep pink and pale pink mini cymbidium orchids mingle to create a most attractive bouquet. Seated in a Baccarat Crystal Clear Wave Vase made of the finest full-lead French crystal, this bouquet is a spellbinding expression of classic elegance and charm.  Gift includes 4 stems of assorted pink mini cymbidium orchids exhibiting 10 to 15 blooms per stem, and a Baccarat Crystal Clear Wave Vase.  Approximately 18""H x 14""W. ",745.99
"Regional BBQ Sauces, 5 Bottles",Sauce9.jpg,Legendary American BBQ,39,Male,Sauces,"This selection of regional BBQ sauces will allow the barbecue lover in your life to sample some of the best sauces from around the country, ranging from Kansas City-based Cowtown barbecue sauce, to Tennessee's BBQ Fight Club Kickin Chicken White Sauce.",42
"Sauce and Marinade Gift Pack, 3 bottles",Sauce16.jpg,Jim Beam,19,Male,Sauces,"Jim Beam is one of the leading distillers of great whiskey in our country, so the great flavors are brought to sauce in this Jim Beam Gift Pack, which includes 11 ounces of Jim Beam steak sauce, 18 ounces of Jim Beam BBQ sauce, and 13 ounces of Jim Beam marinade. Gift set delivered with a Jim Beam basting brush.",17.89
